confirmed,deaths,estimated_population,city_ibge_code
2811,43,15744,4315503
569,11,2660,4315552
37811,630,211965,4315602
5707,108,38265,4315701
620,14,4676,4315750
1392,30,11471,4315800
1867,8,5868,4315909
440,4,2296,4315958
5816,63,21453,4316006
2219,29,10617,4316105
1377,19,5080,4316204
1185,11,6797,4316303
7241,136,39314,4316402
703,10,2605,4316428
703,13,2622,4316436
2199,28,12481,4316451
694,9,2733,4316477
1344,5,7889,4316501
4817,40,16328,4316600
2438,47,7909,4316709
720,4,1634,4316733
657,12,6681,4316758
36327,378,131365,4316808
256,7,2578,4316972
62869,906,283677,4316907
1074,16,6364,4316956
617,13,8067,4317004
17453,212,76321,4317103
23526,227,73575,4317202
376,4,1726,4317251
6103,56,29483,4317301
11496,177,49360,4317400
16627,320,77568,4317509
7918,170,43171,4317608
921,42,10050,4317707
332,5,2123,4317558
189,2,2019,4317756
2430,41,13848,4317806
2858,31,14216,4317905
465,8,2305,4317954
13248,277,60019,4318002
703,9,3083,4318051
2741,39,18205,4318101
2358,53,21801,4318200
12968,309,62147,4318309
2324,79,24412,4318408
1218,6,4641,4318424
567,6,2543,4318432
517,11,2816,4318440
366,3,2514,4318457
243,3,1943,4318465
1010,13,4865,4318481
687,2,2056,4318499
2402,52,27721,4318507
1336,18,6922,4318606
732,14,3543,4318622
518,6,2437,4318614
40286,844,238648,4318705
7383,96,43540,4318804
7828,117,33293,4318903
6128,73,21658,4319000
1226,12,5380,4319109
176,6,3231,4319125
1430,17,7683,4319158
142,16,5208,4319208
1003,14,5720,4319307
647,2,3842,4319356
550,10,2017,4319364
646,6,2949,4319372
2555,38,16148,4319406
5798,66,25959,4319505
3576,64,23555,4319604
375,5,3259,4319703
528,4,2245,4319711
275,5,2729,4319737
592,6,2266,4319752
1165,21,8732,4319802
19266,360,80037,4319901
24361,593,141808,4320008
7083,73,24763,4320107
3410,44,10713,4320206
473,7,2891,4320230
1080,7,7444,4320263
1255,28,5107,4320305
603,3,2770,4320321
795,23,5609,4320354
4182,38,17795,4320404
264,7,1924,4320453
1196,17,5315,4320503
1055,13,6537,4320552
161,5,1950,4320578
692,6,3631,4320602
453,11,2374,4320651
1310,23,10162,4320677
2986,34,15005,4320701
6301,99,31035,4320800
727,8,4769,4320859
7188,58,24552,4320909
2955,48,10577,4321006
2573,65,17332,4321105
8811,192,57584,4321204
4258,82,26885,4321303
809,8,3077,4321329
761,13,5483,4321352
3008,38,13434,4321402
1687,55,11315,4321436
7788,99,33766,4321451
712,10,3055,4321469
434,8,5616,4321477
472,12,2772,4321493
11428,123,39064,4321501
13552,247,52632,4321600
396,9,2334,4321626
369,3,2643,4321634
2008,27,11115,4321667
4871,77,28581,4321709
5601,48,23876,4321808
634,7,2669,4321832
896,18,4251,4321857
4031,69,23852,4321907
1348,18,5791,4321956
4043,98,29856,4322004
1327,22,5644,4322103
463,14,4577,4322152
323,3,1459,4322186
3525,57,24068,4322202
1332,17,4939,4322251
2084,21,7810,4322301
455,8,3423,4322327
399,3,1983,4322343
114,1,1118,4322350
296,4,2321,4322376
20112,487,126866,4322400
14209,237,66575,4322509
1187,22,11828,4322533
1321,13,5981,4322541
430,8,3515,4322525
430,3,2122,4322558
16123,142,71973,4322608
5808,53,27099,4322707
7623,70,26533,4322806
449,9,1795,4322855
794,12,4690,4322905
27164,832,256302,4323002
580,7,4599,4323101
624,7,2860,4323200
1203,13,3396,4323309
473,2,2080,4323358
968,11,4363,4323408
726,9,4277,4323457
621,8,2739,4323507
265,7,1557,4323606
456,14,2855,4323705
530,12,3092,4323754
432,8,3031,4323770
4584,57,16775,4323804
1328,24,11121,2400109
10033,166,58384,2400208
1093,18,11029,2400307
434,5,3272,2400406
2399,33,13553,2400505
731,14,4710,2400604
3535,43,14728,2400703
1237,27,11705,2400802
959,7,7154,2400901
8552,106,35874,2401008
3953,114,27967,2401107
1409,27,14417,2401206
661,10,9322,2401404
1747,31,28747,2401453
380,9,3994,2401503
190,3,5525,2401602
440,1,2197,2401651
1320,20,10267,2401701
1716,20,12787,2401800
670,12,6561,2401859
633,8,3715,2401909
16630,178,68343,2402006
746,14,9670,2401305
1047,15,11291,2402105
2452,47,34548,2402204
4104,51,20541,2402303
963,9,8239,2402402
1518,24,10867,2402501
5277,129,73886,2402600
589,14,11181,2402709
267,6,5504,2402808
659,7,4915,2402907
1830,15,7983,2403004
5915,99,44905,2403103
1199,23,7072,2403202
1049,17,5668,2403301
849,7,6054,2403400
1001,16,10484,2403509
5285,74,28936,2403608
1568,19,5997,2403707
614,4,3067,2403756
1726,19,9786,2403806
778,5,2813,2403905
1588,10,4041,2404002
364,1,2845,2404101
3583,47,26669,2404200
1485,21,13076,2404309
1399,23,10463,2404408
2958,56,15963,2404507
889,10,13901,2404606
0,0,,
1697,26,15626,2404705
560,2,2253,2404804
750,13,7595,2404853
529,14,5897,2404903
1146,7,9238,2405009
914,9,6893,2405108
1114,10,5248,2405207
711,9,10275,2405306
736,9,4995,2405405
337,1,2606,2405504
4054,43,14942,2405603
2195,25,12396,2405702
4095,51,35160,2405801
376,2,2654,2405900
764,12,5946,2406007
4237,55,18315,2406106
640,9,3922,2406155
541,10,6811,2406205
708,14,7584,2406304
293,10,2732,2406403
2105,17,15749,2406502
710,11,8297,2406601
1399,16,11344,2406700
679,9,4763,2406809
752,5,4025,2406908
818,13,10146,2407005
8817,184,81821,2407104
3979,48,32039,2407203
576,16,4062,2407252
1110,16,8336,2407302
783,11,8758,2407401
668,7,12544,2407500
758,6,4634,2407609
832,17,11208,2407708
1653,16,22576,2407807
220,6,2084,2407906
37587,637,300618,2408003
128631,2922,890480,2408102
2661,47,27938,2408201
3127,67,37450,2408300
1232,9,4244,2408409
938,6,4813,2408508
857,2,4276,2408607
686,13,3750,2408706
714,9,5272,2408805
4850,33,21545,2408904
41450,580,267036,2403251
1437,7,13474,2409100
325,3,3102,2409209
2036,31,12809,2409308
5635,44,30600,2409407
932,5,3199,2409506
303,2,2438,2409605
451,8,6653,2409704
1436,15,14844,2409803
1409,46,15272,2409902
698,5,3869,2410009
1422,19,15531,2410108
1033,17,7906,2410207
512,11,6522,2410256
602,20,9724,2410405
663,4,5128,2410504
570,3,3208,2410603
533,11,3614,2410702
766,1,4199,2410801
949,13,8220,2410900
1025,14,10905,2408953
520,11,4462,2411007
157,1,3592,2411106
5901,82,39988,2411205
542,14,5621,2409332
1288,20,11956,2411403
461,2,2689,2411429
2978,63,24280,2411502
348,2,2717,2411601
273,3,4495,2411700
675,6,3595,2411809
507,5,4255,2411908
10478,244,103672,2412005
1655,10,6207,2412104
5878,80,44236,2412203
1259,28,12879,2412302
943,2,4665,2412401
3119,48,23655,2412500
1077,21,10362,2412559
2985,52,17720,2412609
710,14,5930,2412708
1184,20,8192,2412807
1834,25,11053,2412906
1246,3,6450,2413003
717,9,6127,2413102
463,6,4484,2413201
888,19,10522,2410306
508,3,5751,2413300
1338,21,12083,2413359
2042,20,8092,2413409
902,11,6178,2413508
924,8,4816,2413557
1084,15,2088,2413607
627,12,5561,2413706
336,6,2586,2413805
1375,17,12297,2413904
1066,20,15869,2414001
1750,25,10855,2414100
1370,4,6019,2414159
774,12,4140,2411056
2184,17,14440,2414209
770,2,2421,2414308
2104,32,33503,2414407
514,3,3216,2414456
2220,22,10520,2414506
1855,22,14800,2414605
514,12,5515,2414704
447,6,4205,2414753
2123,24,12637,2414803
693,4,1725,2414902
368,3,3194,2415008
891,30,20230,2700102
1696,37,17526,2700201
35747,560,233047,2700300
1836,56,47365,2700409
603,33,16068,2700508
929,10,8378,2700607
1261,23,18338,2700706
210,8,4284,2700805
598,9,6710,2700904
2535,50,27356,2701001
1091,16,10460,2701100
1020,12,10889,2701209
827,33,21331,2701308
287,6,6954,2701357
3202,84,57537,2701407
622,11,9567,2701506
677,13,17719,2701605
1322,20,16979,2701704
443,11,9159,2701803
449,11,7311,2701902
629,22,10643,2702009
479,21,21818,2702108
575,9,5864,2702207
5280,61,57294,2702306
1436,33,24309,2702355
5522,144,52262,2702405
784,8,11067,2702504
768,19,18255,2702553
879,22,22178,2702603
176,5,4779,2702702
799,20,12807,2702801
2096,52,41237,2702900
954,21,15627,2703007
2080,33,25613,2703106
2013,22,24586,2703205
0,0,,
735,17,18392,2703304
550,5,5219,2703403
317,4,7006,2703502
628,16,8403,2703601
218,4,5761,2703700
789,13,11536,2703759
795,27,24081,2703809
194,5,4137,2703908
1236,50,24722,2704005
1755,25,17771,2704104
1794,35,28771,2704203
114279,3006,1025360,2704302
1169,24,19864,2704401
2319,51,33032,2704500
482,18,9004,2704609
8102,125,52380,2704708
714,18,13193,2704807
175,4,3494,2704906
809,26,25207,2705002
1675,45,24634,2705101
1789,29,18031,2705200
359,10,5322,2705309
292,14,7165,2705408
1191,51,28333,2705507
368,13,12764,2705606
1903,42,21738,2705705
200,6,9441,2705804
243,9,5128,2705903
559,17,11657,2706000
854,11,11535,2706109
537,4,5037,2706208
6518,169,73337,2706307
1349,31,24351,2706406
966,10,10539,2706422
517,28,13332,2706448
918,23,15258,2706505
524,16,7560,2706604
4871,90,63846,2706703
1106,23,17848,2706802
4813,62,35212,2706901
231,2,2905,2707008
1672,27,25183,2707107
672,12,14418,2707206
1262,49,27249,2707305
561,15,7701,2707404
652,21,20112,2707503
1348,15,11248,2707602
4513,185,75394,2707701
450,14,6649,2707800
748,9,7320,2707909
5916,109,47819,2708006
910,19,10687,2708105
486,4,6969,2708204
1350,32,23996,2708303
1448,43,32405,2708402
1596,27,34692,2708501
5221,107,61797,2708600
377,16,8013,2708709
2075,39,34290,2708808
1449,40,13936,2708907
427,13,13921,2708956
479,12,6138,2709004
902,27,20072,2709103
2853,72,44372,2709152
774,27,27826,2709202
3801,100,65790,2709301
2453,41,25693,2709400
10564,235,159080,1500107
1308,12,7486,1500131
2174,41,55669,1500206
3490,16,39567,1500305
1563,18,27615,1500347
4739,158,57092,1500404
4385,54,34076,1500503
20962,349,115969,1500602
1385,22,29688,1500701
29378,849,535547,1500800
2156,66,28607,1500859
2526,53,46471,1500909
1926,17,31773,1500958
1052,16,16404,1501006
1324,13,31325,1501105
935,39,48459,1501204
656,3,3262,1501253
12785,250,127027,1501303
131343,5282,1499641,1501402
2822,45,17839,1501451
6246,112,63768,1501501
1216,29,17118,1501576
514,16,16530,1501600
6905,179,128914,1501709
4100,44,14983,1501725
1128,6,7368,1501758
1374,72,67332,1501782
4895,125,103497,1501808
1886,43,29427,1501907
621,25,24064,1502004
1573,11,34609,1501956
10530,306,139364,1502103
10852,138,38103,1502152
6297,130,69431,1502202
3124,92,54425,1502301
14144,499,203251,1502400
858,6,23948,1502509
930,22,12131,1502608
6460,59,47991,1502707
3166,35,33781,1502756
1202,12,13761,1502764
2608,39,17846,1502772
579,36,34994,1502806
2349,25,14587,1502855
2588,84,40584,1502905
2709,67,60469,1502939
1113,35,33940,1502954
1397,30,7070,1503002
1943,29,20525,1503044
1744,11,26111,1503077
2913,36,41081,1503093
2632,14,33755,1503101
3191,80,39023,1503200
3863,99,63036,1503309
0,0,,
611,17,11861,1503408
2877,47,65625,1503457
2224,22,32595,1503507
14346,384,101395,1503606
2419,90,53355,1503705
3319,40,7590,1503754
2736,81,59842,1503804
5689,178,58960,1503903
1963,67,29282,1504000
2116,81,30235,1504059
490,17,8573,1504109
21053,539,283542,1504208
769,49,29516,1504307
1056,45,28450,1504406
4430,146,133685,1504422
4859,63,31975,1504455
595,17,27890,1504505
3697,65,31530,1504604
2666,70,83182,1504703
1946,34,16184,1504752
8427,211,58162,1504802
