,Município,AVG_IDADE,ID
204,150330 IGARAPE-MIRI,29.3,150330
205,150340 INHANGAPI,31.0,150340
206,150345 IPIXUNA DO PARA,26.9,150345
207,150350 IRITUIA,31.0,150350
208,150360 ITAITUBA,30.9,150360
209,150370 ITUPIRANGA,29.0,150370
210,150375 JACAREACANGA,27.2,150375
211,150380 JACUNDA,29.4,150380
212,150390 JURUTI,26.2,150390
213,150400 LIMOEIRO DO AJURU,27.4,150400
214,150405 MAE DO RIO,30.6,150405
215,150410 MAGALHAES BARATA,31.7,150410
216,150420 MARABA,28.9,150420
217,150430 MARACANA,32.0,150430
218,150440 MARAPANIM,33.1,150440
219,150442 MARITUBA,30.3,150442
220,150445 MEDICILANDIA,30.3,150445
221,150450 MELGACO,23.4,150450
222,150460 MOCAJUBA,28.9,150460
223,150470 MOJU,27.6,150470
224,150475 MOJUI DOS CAMPOS,33.1,150475
225,150480 MONTE ALEGRE,31.9,150480
226,150490 MUANA,27.6,150490
227,150495 NOVA ESPERANCA DO PIRIA,27.2,150495
228,150497 NOVA IPIXUNA,30.4,150497
229,150500 NOVA TIMBOTEUA,34.0,150500
230,150503 NOVO PROGRESSO,28.0,150503
231,150506 NOVO REPARTIMENTO,28.4,150506
232,150510 OBIDOS,29.9,150510
233,150520 OEIRAS DO PARA,25.7,150520
234,150530 ORIXIMINA,28.5,150530
235,150540 OUREM,31.5,150540
236,150543 OURILANDIA DO NORTE,27.1,150543
237,150548 PACAJA,29.0,150548
238,150549 PALESTINA DO PARA,31.4,150549
239,150550 PARAGOMINAS,28.2,150550
240,150553 PARAUAPEBAS,27.0,150553
241,150555 PAU D'ARCO,32.2,150555
242,150560 PEIXE-BOI,33.8,150560
243,150563 PICARRA,30.8,150563
244,150565 PLACAS,27.6,150565
245,150570 PONTA DE PEDRAS,29.0,150570
246,150580 PORTEL,24.0,150580
247,150590 PORTO DE MOZ,24.0,150590
248,150600 PRAINHA,28.3,150600
249,150610 PRIMAVERA,33.9,150610
250,150611 QUATIPURU,31.6,150611
251,150613 REDENCAO,31.5,150613
252,150616 RIO MARIA,33.0,150616
253,150618 RONDON DO PARA,31.5,150618
254,150619 RUROPOLIS,28.8,150619
255,150620 SALINOPOLIS,31.4,150620
256,150630 SALVATERRA,30.8,150630
257,150635 SANTA BARBARA DO PARA,31.2,150635
258,150640 SANTA CRUZ DO ARARI,30.4,150640
259,150650 SANTA IZABEL DO PARA,31.5,150650
260,150655 SANTA LUZIA DO PARA,30.9,150655
261,150658 SANTA MARIA DAS BARREIRAS,32.3,150658
262,150660 SANTA MARIA DO PARA,33.1,150660
263,150670 SANTANA DO ARAGUAIA,28.3,150670
264,150680 SANTAREM,30.7,150680
265,150690 SANTAREM NOVO,30.4,150690
266,150700 SANTO ANTONIO DO TAUA,30.8,150700
267,150710 SAO CAETANO DE ODIVELAS,32.1,150710
268,150715 SAO DOMINGOS DO ARAGUAIA,31.4,150715
269,150720 SAO DOMINGOS DO CAPIM,27.4,150720
270,150730 SAO FELIX DO XINGU,29.0,150730
271,150740 SAO FRANCISCO DO PARA,33.5,150740
272,150745 SAO GERALDO DO ARAGUAIA,31.4,150745
273,150746 SAO JOAO DA PONTA,30.8,150746
274,150747 SAO JOAO DE PIRABAS,31.3,150747
275,150750 SAO JOAO DO ARAGUAIA,31.0,150750
276,150760 SAO MIGUEL DO GUAMA,29.8,150760
277,150770 SAO SEBASTIAO DA BOA VISTA,27.7,150770
278,150775 SAPUCAIA,31.9,150775
279,150780 SENADOR JOSE PORFIRIO,28.9,150780
280,150790 SOURE,31.4,150790
281,150795 TAILANDIA,26.5,150795
282,150796 TERRA ALTA,31.7,150796
283,150797 TERRA SANTA,30.5,150797
284,150800 TOME-ACU,28.8,150800
285,150803 TRACUATEUA,29.6,150803
286,150805 TRAIRAO,29.4,150805
287,150808 TUCUMA,30.0,150808
288,150810 TUCURUI,28.8,150810
289,150812 ULIANOPOLIS,27.8,150812
290,150815 URUARA,28.7,150815
291,150820 VIGIA,31.6,150820
292,150830 VISEU,27.3,150830
293,150835 VITORIA DO XINGU,30.1,150835
294,150840 XINGUARA,30.6,150840
295,160005 SERRA DO NAVIO,28.8,160005
296,160010 AMAPA,28.7,160010
297,160015 PEDRA BRANCA DO AMAPARI,26.3,160015
298,160020 CALCOENE,28.1,160020
299,160021 CUTIAS,26.8,160021
300,160023 FERREIRA GOMES,27.9,160023
301,160025 ITAUBAL,27.8,160025
302,160027 LARANJAL DO JARI,27.6,160027
303,160030 MACAPA,29.3,160030
304,160040 MAZAGAO,26.4,160040
305,160050 OIAPOQUE,26.0,160050
306,160053 PORTO GRANDE,27.5,160053
307,160055 PRACUUBA,24.7,160055
308,160060 SANTANA,29.0,160060
309,160070 TARTARUGALZINHO,27.4,160070
310,160080 VITORIA DO JARI,27.5,160080
311,170025 ABREULANDIA,32.1,170025
312,170030 AGUIARNOPOLIS,27.8,170030
313,170035 ALIANCA DO TOCANTINS,36.4,170035
314,170040 ALMAS,32.3,170040
315,170070 ALVORADA,34.5,170070
316,170100 ANANAS,32.4,170100
317,170105 ANGICO,33.8,170105
318,170110 APARECIDA DO RIO NEGRO,32.5,170110
319,170130 ARAGOMINAS,35.2,170130
320,170190 ARAGUACEMA,33.6,170190
321,170200 ARAGUACU,37.9,170200
322,170210 ARAGUAINA,31.2,170210
323,170215 ARAGUANA,31.5,170215
324,170220 ARAGUATINS,30.5,170220
325,170230 ARAPOEMA,33.6,170230
326,170240 ARRAIAS,33.7,170240
327,170255 AUGUSTINOPOLIS,30.6,170255
328,170270 AURORA DO TOCANTINS,35.5,170270
